Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count 
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 2                             
MANN_a9.clq          | 372                            | 372.00                           | 34                            

Run: 35
johnson16-2-4.clq    | 548                            | 548.00                           | 35                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 35                            
johnson8-4-4.clq     | 511                            | 511.00                           | 35                            
keller4.clq          | 1153                           | 1153.00                          | 35                            
keller5.clq          | 3317                           | 3317.00                          | 35                            
keller6.clq          | 7231                           | 6743.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 2                             
MANN_a9.clq          | 372                            | 372.00                           | 35                            

Run: 36
johnson16-2-4.clq    | 548                            | 548.00                           | 36                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 36                            
johnson8-4-4.clq     | 511                            | 511.00                           | 36                            
keller4.clq          | 1153                           | 1153.00                          | 36                            
keller5.clq          | 3317                           | 3317.00                          | 36                            
keller6.clq          | 7231                           | 6741.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111084.00                        | 2                             
MANN_a9.clq          | 372                            | 372.00                           | 36                            

Run: 37
johnson16-2-4.clq    | 548                            | 548.00                           | 37                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 37                            
johnson8-4-4.clq     | 511                            | 511.00                           | 37                            
keller4.clq          | 1153                           | 1153.00                          | 37                            
keller5.clq          | 3317                           | 3317.00                          | 37                            
keller6.clq          | 7231                           | 6738.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111084.00                        | 2                             
MANN_a9.clq          | 372                            | 372.00                           | 37                            

Run: 38
johnson16-2-4.clq    | 548                            | 548.00                           | 38                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 38                            
johnson8-4-4.clq     | 511                            | 511.00                           | 38                            
keller4.clq          | 1153                           | 1153.00                          | 38                            
keller5.clq          | 3317                           | 3317.00                          | 38                            
keller6.clq          | 7231                           | 6741.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 2                             
MANN_a9.clq          | 372                            | 372.00                           | 38                            

Run: 39
johnson16-2-4.clq    | 548                            | 548.00                           | 39                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 39                            
johnson8-4-4.clq     | 511                            | 511.00                           | 39                            
keller4.clq          | 1153                           | 1153.00                          | 39                            
keller5.clq          | 3317                           | 3317.00                          | 39                            
keller6.clq          | 7231                           | 6740.00                          | 1                             
